{ 37 , 4 }
{ 16 , 32 }
{ 85 , 94 }
{ 62 , 87 }
{ 57 , 57 }
{ 77 , 76 }
{ 40 , 71 }
{ 13 , 37 }
{ 11 , 70 }
{ 33 , 3 }
{ 19 , 9 }
{ 92 , 61 }
{ 45 , 81 }
{ 1 , 6 }
{ 61 , 51 }
{ 81 , 52 }
{ 68 , 39 }
{ 90 , 27 }
{ 14 , 82 }
{ 59 , 45 }
{ 82 , 93 }
{ 72 , 66 }
{ 12 , 7 }
{ 34 , 68 }
{ 25 , 31 }
{ 2 , 62 }
{ 8 , 30 }
{ 48 , 40 }
{ 80 , 13 }
{ 97 , 100 }
{ 60 , 48 }
{ 4 , 8 }
{ 64 , 77 }
{ 86 , 26 }
{ 98 , 69 }
{ 78 , 90 }
{ 42 , 44 }
{ 21 , 11 }
{ 24 , 28 }
{ 41 , 47 }
{ 23 , 15 }
{ 93 , 16 }
{ 87 , 34 }
{ 84 , 80 }
{ 94 , 96 }
{ 54 , 91 }
{ 5 , 75 }
{ 69 , 54 }
{ 99 , 65 }
{ 58 , 42 }
{ 18 , 49 }
{ 32 , 83 }
{ 66 , 98 }
{ 52 , 23 }
{ 3 , 17 }
{ 20 , 63 }
{ 46 , 99 }
{ 47 , 64 }
{ 79 , 22 }
{ 83 , 10 }
{ 70 , 89 }
{ 38 , 43 }
{ 73 , 2 }
{ 75 , 18 }
{ 76 , 33 }
{ 50 , 85 }
{ 30 , 41 }
{ 55 , 60 }
{ 26 , 38 }
{ 17 , 14 }
{ 9 , 74 }
{ 91 , 97 }
{ 67 , 92 }
{ 15 , 72 }
{ 88 , 56 }
{ 31 , 36 }
{ 89 , 24 }
{ 65 , 59 }
{ 71 , 95 }
{ 28 , 86 }
{ 7 , 46 }
{ 6 , 12 }
{ 27 , 35 }
{ 53 , 73 }
{ 100 , 19 }
{ 35 , 21 }
{ 95 , 58 }
{ 10 , 50 }
{ 29 , 25 }
{ 96 , 20 }
{ 36 , 53 }
{ 43 , 29 }
{ 51 , 1 }
{ 44 , 78 }
{ 74 , 79 }
{ 63 , 84 }
{ 49 , 67 }
{ 39 , 55 }
{ 22 , 5 }
{ 56 , 88 }
